,NTAName,LI - Not Losing Low Income Households,MHI - At Risk of Exclusion,MHI - Not Losing Low Income Households,LI - At Risk of Gentrification and/or Displacement,MHI - Advanced Exclusion,MHI - Advanced Gentrification,MHI - Ongoing Exclusion,LI - Ongoing Gentrification and/or Displacement,total
171,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,0.33333333333299997,0.0,0.185185185185,0.0,0.296296296296,0.0,0.185185185185,0.0,27.0
172,Turtle Bay-East Midtown,0.0,0.181818181818,0.318181818182,0.0,0.363636363636,0.0909090909091,0.0454545454545,0.0,22.0
173,University Heights-Morris Heights,0.192307692308,0.0,0.0769230769231,0.269230769231,0.0,0.0384615384615,0.0,0.423076923077,26.0
174,Upper East Side-Carnegie Hill,0.0,0.17857142857099997,0.357142857143,0.0,0.392857142857,0.0,0.07142857142860001,0.0,28.0
175,Upper West Side,0.0952380952381,0.190476190476,0.0952380952381,0.0,0.380952380952,0.0952380952381,0.047619047619,0.0952380952381,21.0
176,Van Cortlandt Village,0.15,0.05,0.05,0.3,0.1,0.15,0.0,0.2,20.0
177,Van Nest-Morris Park-Westchester Square,0.0277777777778,0.166666666667,0.111111111111,0.166666666667,0.19444444444400003,0.222222222222,0.08333333333330001,0.0277777777778,36.0
178,Washington Heights North,0.111111111111,0.0,0.111111111111,0.33333333333299997,0.0555555555556,0.0555555555556,0.0,0.33333333333299997,18.0
179,Washington Heights South,0.0,0.0,0.052631578947400004,0.368421052632,0.0,0.052631578947400004,0.0,0.526315789474,19.0
180,West Brighton,0.583333333333,0.0,0.0,0.166666666667,0.0,0.08333333333330001,0.0,0.166666666667,12.0
181,Westchester-Unionport,0.210526315789,0.157894736842,0.052631578947400004,0.263157894737,0.052631578947400004,0.157894736842,0.105263157895,0.0,19.0
182,West Concourse,0.125,0.0,0.0,0.5,0.0416666666667,0.0416666666667,0.0,0.29166666666700003,24.0
183,Westerleigh,0.388888888889,0.0555555555556,0.222222222222,0.0555555555556,0.166666666667,0.0,0.0555555555556,0.0555555555556,18.0
184,West Farms-Bronx River,0.222222222222,0.0,0.0,0.444444444444,0.0,0.111111111111,0.0555555555556,0.166666666667,18.0
185,West New Brighton-New Brighton-St. George,0.5,0.0,0.0909090909091,0.13636363636399998,0.0454545454545,0.0454545454545,0.0454545454545,0.13636363636399998,22.0
186,West Village,0.0,0.29166666666700003,0.0416666666667,0.0416666666667,0.375,0.0416666666667,0.08333333333330001,0.125,24.0
187,Whitestone,0.176470588235,0.0588235294118,0.294117647059,0.0,0.35294117647100004,0.0,0.117647058824,0.0,17.0
188,Williamsbridge-Olinville,0.0882352941176,0.0588235294118,0.20588235294100002,0.14705882352900002,0.20588235294100002,0.117647058824,0.0882352941176,0.0882352941176,34.0
189,Williamsburg,0.176470588235,0.0,0.0,0.35294117647100004,0.0,0.117647058824,0.0,0.35294117647100004,17.0
190,Windsor Terrace,0.0,0.06666666666669999,0.133333333333,0.06666666666669999,0.33333333333299997,0.2,0.06666666666669999,0.133333333333,15.0
191,Woodhaven,0.363636363636,0.0,0.030303030303,0.151515151515,0.121212121212,0.0909090909091,0.121212121212,0.121212121212,33.0
192,Woodlawn-Wakefield,0.206896551724,0.0689655172414,0.0689655172414,0.103448275862,0.310344827586,0.0344827586207,0.0689655172414,0.137931034483,29.0
193,Woodside,0.24,0.0,0.12,0.2,0.04,0.2,0.0,0.2,25.0
194,Yorkville,0.0,0.176470588235,0.294117647059,0.0588235294118,0.294117647059,0.0,0.0588235294118,0.117647058824,17.0
